59.5%	909
59.6%	1821
59.7%	912
59.8%	1829
59.9%	916
60.0%	1835
60.1%	919
60.2%	1841
60.3%	922
60.4%	1847
60.5%	925
60.6%	1853
60.7%	928
60.8%	1859
60.9%	931
61.0%	1865
61.1%	934
61.2%	1875
61.3%	939
61.4%	1881
61.5%	942
61.6%	1889
61.7%	946
61.8%	1896
61.9%	950
62.0%	1904
62.1%	954
62.2%	1913
62.3%	958
62.4%	1919
62.5%	961
62.6%	1927
62.7%	965
62.8%	1933
62.9%	968
63.0%	1939
63.1%	972
63.2%	1948
63.3%	976
63.4%	1955
63.5%	979
63.6%	1961
63.7%	982
63.8%	1967
63.9%	985
64.0%	1973
64.1%	988
64.2%	1979
64.3%	991
64.4%	1985
64.5%	994
64.6%	1991
64.7%	997
64.8%	1999
64.9%	1001
65.0%	2008
65.1%	1007
65.2%	2017
65.3%	1010
65.4%	2023
65.5%	1013
65.6%	2029
65.7%	1016
65.8%	2038
65.9%	1021
66.0%	2048
66.1%	1028
66.2%	2059
66.3%	1031
66.4%	2066
66.5%	1035
66.6%	2075
66.7%	1039
66.8%	2081
66.9%	1042
67.0%	2092
67.1%	1048
67.2%	2101
67.3%	1052
67.4%	2109
67.5%	1056
67.6%	2115
67.7%	1059
67.8%	2125
67.9%	1065
68.0%	2137
68.1%	1071
68.2%	2147
68.3%	1078
68.4%	2159
68.5%	1081
68.6%	2165
68.7%	1084
68.8%	2174
68.9%	1089
69.0%	2181
69.1%	1092
69.2%	2189
69.3%	1096
69.4%	2195
69.5%	1099
69.6%	2201
69.7%	1102
69.8%	2207
69.9%	1105
70.0%	2218
70.1%	1111
70.2%	2225
70.3%	1114
70.4%	2235
70.5%	1119
70.6%	2245
70.7%	1124
70.8%	2252
70.9%	1128
71.0%	2259
71.1%	1132
71.2%	2267
71.3%	1136
71.4%	2277
71.5%	1141
71.6%	2285
71.7%	1144
71.8%	2294
71.9%	1149
72.0%	2301
72.1%	1153
72.2%	2311
72.3%	1157
72.4%	2317
72.5%	1160
72.6%	2323
72.7%	1165
72.8%	2333
72.9%	1170
73.0%	2345
73.1%	1174
73.2%	2354
