63.3%	6816
63.4%	9105
63.5%	6840
63.6%	9134
63.7%	6861
63.8%	6875
63.9%	9189
64.0%	6903
64.1%	9218
64.2%	6924
64.3%	9249
64.4%	6951
64.5%	9285
64.6%	6978
64.7%	6987
64.8%	9333
64.9%	7017
65.0%	9370
65.1%	7041
65.2%	9409
65.3%	7070
65.4%	9442
65.5%	7098
65.6%	7107
65.7%	9497
65.8%	7135
65.9%	9530
66.0%	7160
66.1%	9569
66.2%	7189
66.3%	9610
66.4%	7228
66.5%	9661
66.6%	7260
66.7%	7278
66.8%	9721
66.9%	7303
67.0%	9757
67.1%	7329
67.2%	9786
67.3%	7354
67.4%	9824
67.5%	7380
67.6%	7392
67.7%	9882
67.8%	7427
67.9%	9924
68.0%	7455
68.1%	9957
68.2%	7486
68.3%	9998
68.4%	7509
68.5%	10029
68.6%	7538
68.7%	7548
68.8%	10086
68.9%	7584
69.0%	10147
69.1%	7635
69.2%	10199
69.3%	7665
69.4%	10234
69.5%	7688
69.6%	7698
69.7%	10279
69.8%	7727
69.9%	10324
70.0%	7758
70.1%	10363
70.2%	7785
70.3%	10404
70.4%	7821
70.5%	7835
70.6%	10464
70.7%	7867
70.8%	10518
70.9%	7908
71.0%	10558
71.1%	7935
71.2%	10598
71.3%	7966
71.4%	10640
71.5%	8000
71.6%	8010
71.7%	10716
71.8%	8059
71.9%	10764
72.0%	8088
72.1%	10798
72.2%	8110
72.3%	10842
72.4%	8156
72.5%	8176
72.6%	10918
72.7%	8205
72.8%	10961
72.9%	8233
73.0%	11004
73.1%	8265
73.2%	11039
73.3%	8297
73.4%	11086
73.5%	8337
73.6%	8349
73.7%	11149
73.8%	8385
73.9%	11194
74.0%	8412
74.1%	11232
74.2%	8450
74.3%	11296
74.4%	8493
74.5%	8505
74.6%	11367
74.7%	8543
74.8%	11412
74.9%	8582
75.0%	11476
75.1%	8629
75.2%	11541
75.3%	8679
75.4%	8695
75.5%	11643
75.6%	8745
75.7%	11678
75.8%	8785
75.9%	11739
76.0%	8822
76.1%	11786
76.2%	8858
76.3%	11839
76.4%	8895
76.5%	8910
76.6%	11912
76.7%	8967
76.8%	12004
76.9%	9024
77.0%	12048
77.1%	9072
77.2%	12114
77.3%	9098
77.4%	9108
77.5%	12162
77.6%	9142
77.7%	12223
77.8%	9187
77.9%	12286
78.0%	9231
78.1%	12327
78.2%	9258
78.3%	12361
78.4%	9296
78.5%	9318
78.6%	12454
78.7%	9357
78.8%	12504
78.9%	9393
79.0%	12541
79.1%	9423
79.2%	12591
79.3%	9475
79.4%	9493
79.5%	12681
79.6%	9537
79.7%	12755
79.8%	9589
79.9%	12821
80.0%	9641
80.1%	12894
80.2%	9693
80.3%	9705
80.4%	12958
80.5%	9733
80.6%	13016
80.7%	9794
80.8%	13090
80.9%	9857
81.0%	13187
81.1%	9908
81.2%	13255
81.3%	9980
81.4%	10016
81.5%	13382
81.6%	10059
81.7%	13442
81.8%	10112
81.9%	13508
82.0%	10146
82.1%	13562
82.2%	10206
82.3%	10235
82.4%	13685
82.5%	10280
82.6%	13738
82.7%	10345
82.8%	13829
82.9%	10388
83.0%	13911
83.1%	10464
83.2%	14010
83.3%	10540
83.4%	10562
83.5%	14174
83.6%	10667
83.7%	14255
83.8%	10722
83.9%	14352
84.0%	10805
84.1%	14454
84.2%	10898
84.3%	10946
84.4%	14646
84.5%	11001
84.6%	14689
84.7%	11043
84.8%	14795
84.9%	11125
85.0%	14872
85.1%	11196
85.2%	11246
85.3%	15043
85.4%	11319
85.5%	15146
85.6%	11423
85.7%	15280
85.8%	11484
85.9%	15349
86.0%	11530
86.1%	15423
86.2%	11607
86.3%	11636
86.4%	15581
86.5%	11714
86.6%	15695
86.7%	11807
86.8%	15833
86.9%	11925
87.0%	15963
87.1%	12022
87.2%	12058
87.3%	16150
87.4%	12145
87.5%	16271
87.6%	12250
87.7%	16379
87.8%	12330
87.9%	16494
88.0%	12404
88.1%	16618
88.2%	12509
88.3%	12536
88.4%	16752
88.5%	12589
88.6%	16857
88.7%	12703
88.8%	16967
88.9%	12786
89.0%	17147
89.1%	12921
89.2%	12974
89.3%	17353
89.4%	13074
89.5%	17476
89.6%	13160
89.7%	17681
89.8%	13313
89.9%	17830
90.0%	13421
90.1%	13497
90.2%	18084
90.3%	13590
90.4%	18148
90.5%	13664
90.6%	18291
90.7%	13791
90.8%	18430
90.9%	13859
91.0%	18555
91.1%	14019
91.2%	14092
91.3%	18871
91.4%	14266
91.5%	19251
91.6%	14490
91.7%	19398
91.8%	14610
91.9%	19536
92.0%	14707
92.1%	14754
92.2%	19733
92.3%	14917
92.4%	19943
92.5%	15066
92.6%	20299
92.7%	15299
92.8%	20471
92.9%	15459
93.0%	20755
93.1%	15702
93.2%	15799
93.3%	21195
93.4%	15937
93.5%	21490
93.6%	16238
